Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Ice Training App,,,2018-11-05 15:37:19,2018-11-05 15:48:57,11m - 38.400s,PASSED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-11-05 15:37:20,2018-11-05 15:37:46,26.931s,PASSED
startApplication,,,2018-11-05 15:37:21,2018-11-05 15:37:41,20.846s,PASSED
delay,,,2018-11-05 15:37:41,2018-11-05 15:37:46,5.095s,PASSED
,,,,,,
Test Cases/CompetencyTraining/VisitCompetencyTraining,,,2018-11-05 15:37:46,2018-11-05 15:40:11,2m - 24.136s,PASSED
verifyElementExist,,,2018-11-05 15:37:47,2018-11-05 15:37:48,1.599s,PASSED
tap,,,2018-11-05 15:37:48,2018-11-05 15:37:49,0.959s,PASSED
verifyElementExist,,,2018-11-05 15:37:49,2018-11-05 15:37:50,0.698s,PASSED
tap,,,2018-11-05 15:37:50,2018-11-05 15:37:51,0.744s,PASSED
verifyElementText,,,2018-11-05 15:37:51,2018-11-05 15:37:51,0.758s,PASSED
tap,,,2018-11-05 15:37:51,2018-11-05 15:37:52,0.611s,PASSED
verifyElementText,,,2018-11-05 15:37:52,2018-11-05 15:37:58,5.682s,PASSED
tap,,,2018-11-05 15:37:58,2018-11-05 15:37:59,1.189s,PASSED
verifyElementText,,,2018-11-05 15:37:59,2018-11-05 15:38:00,0.782s,PASSED
com.ct.qa.keywords.CompetiencyTraining.visitShop,,,2018-11-05 15:38:00,2018-11-05 15:40:11,2m - 10.845s,PASSED
,,,,,,
Test Cases/MarketVisit/VisitMarketVisit,,,2018-11-05 15:40:11,2018-11-05 15:42:08,1m - 57.529s,PASSED
verifyElementExist,,,2018-11-05 15:40:11,2018-11-05 15:40:11,0.183s,PASSED
tap,,,2018-11-05 15:40:11,2018-11-05 15:40:12,1.133s,PASSED
verifyElementText,,,2018-11-05 15:40:12,2018-11-05 15:40:13,0.889s,PASSED
tap,,,2018-11-05 15:40:13,2018-11-05 15:40:14,1.478s,PASSED
com.ct.qa.keywords.MarketVisitKeywords.visitShopWithDataVerification,,,2018-11-05 15:40:14,2018-11-05 15:42:08,1m - 53.682s,PASSED
,,,,,,
Test Cases/TrainingUpdates/VisitTrainingUpdates,,,2018-11-05 15:42:08,2018-11-05 15:45:19,3m - 11.181s,PASSED
tap,,,2018-11-05 15:42:08,2018-11-05 15:42:09,0.541s,PASSED
waitForElementPresent,,,2018-11-05 15:42:09,2018-11-05 15:42:13,4.471s,PASSED
verifyElementExist,,,2018-11-05 15:42:13,2018-11-05 15:42:14,0.119s,PASSED
tap,,,2018-11-05 15:42:14,2018-11-05 15:42:14,0.840s,PASSED
verifyElementExist,,,2018-11-05 15:42:14,2018-11-05 15:42:15,0.799s,PASSED
tap,,,2018-11-05 15:42:15,2018-11-05 15:42:19,3.546s,PASSED
verifyElementExist,,,2018-11-05 15:42:19,2018-11-05 15:42:19,0.115s,PASSED
tap,,,2018-11-05 15:42:19,2018-11-05 15:42:19,0.681s,PASSED
verifyElementExist,,,2018-11-05 15:42:19,2018-11-05 15:42:20,0.659s,PASSED
tap,,,2018-11-05 15:42:20,2018-11-05 15:42:21,0.569s,PASSED
verifyElementExist,,,2018-11-05 15:42:21,2018-11-05 15:42:21,0.650s,PASSED
tap,,,2018-11-05 15:42:21,2018-11-05 15:42:22,0.409s,PASSED
waitForElementPresent,,,2018-11-05 15:42:22,2018-11-05 15:43:05,43.204s,PASSED
verifyElementText,,,2018-11-05 15:43:05,2018-11-05 15:43:05,0.292s,PASSED
tap,,,2018-11-05 15:43:05,2018-11-05 15:43:09,3.384s,PASSED
verifyElementExist,,,2018-11-05 15:43:09,2018-11-05 15:43:09,0.105s,PASSED
tap,,,2018-11-05 15:43:09,2018-11-05 15:43:09,0.400s,PASSED
waitForElementPresent,,,2018-11-05 15:43:09,2018-11-05 15:43:16,7.108s,PASSED
verifyElementText,,,2018-11-05 15:43:16,2018-11-05 15:43:17,0.249s,PASSED
tap,,,2018-11-05 15:43:17,2018-11-05 15:43:20,3.405s,PASSED
verifyElementExist,,,2018-11-05 15:43:20,2018-11-05 15:43:20,0.269s,PASSED
pressBack,,,2018-11-05 15:43:20,2018-11-05 15:43:20,0.230s,PASSED
verifyElementExist,,,2018-11-05 15:43:20,2018-11-05 15:43:21,0.500s,PASSED
tap,,,2018-11-05 15:43:21,2018-11-05 15:43:22,0.643s,PASSED
verifyElementExist,,,2018-11-05 15:43:22,2018-11-05 15:43:22,0.655s,PASSED
com.ct.qa.keywords.TrainingUpdates.visitAsmTseZoneForZonalChampions,,,2018-11-05 15:43:22,2018-11-05 15:45:14,1m - 51.987s,PASSED
tap,,,2018-11-05 15:45:14,2018-11-05 15:45:17,3.280s,PASSED
verifyElementExist,,,2018-11-05 15:45:17,2018-11-05 15:45:18,0.133s,PASSED
pressBack,,,2018-11-05 15:45:18,2018-11-05 15:45:18,0.293s,PASSED
verifyElementExist,,,2018-11-05 15:45:18,2018-11-05 15:45:18,0.556s,PASSED
pressBack,,,2018-11-05 15:45:18,2018-11-05 15:45:19,0.272s,PASSED
verifyElementExist,,,2018-11-05 15:45:19,2018-11-05 15:45:19,0.552s,PASSED
,,,,,,
Test Cases/ViewPlanogram/VisitViewPlanogram,,,2018-11-05 15:45:19,2018-11-05 15:45:25,5.811s,PASSED
tap,,,2018-11-05 15:45:20,2018-11-05 15:45:21,1.268s,PASSED
verifyElementText,,,2018-11-05 15:45:21,2018-11-05 15:45:22,0.687s,PASSED
tap,,,2018-11-05 15:45:22,2018-11-05 15:45:25,3.314s,PASSED
verifyElementExist,,,2018-11-05 15:45:25,2018-11-05 15:45:25,0.176s,PASSED
,,,,,,
Test Cases/CCSDE-Book/VisitCCSDE-Book,,,2018-11-05 15:45:25,2018-11-05 15:48:46,3m - 20.924s,PASSED
tap,,,2018-11-05 15:45:26,2018-11-05 15:45:26,0.924s,PASSED
verifyElementExist,,,2018-11-05 15:45:26,2018-11-05 15:45:27,0.671s,PASSED
tap,,,2018-11-05 15:45:27,2018-11-05 15:45:28,0.515s,PASSED
verifyElementText,,,2018-11-05 15:45:28,2018-11-05 15:45:29,1.406s,PASSED
com.ct.qa.keywords.CCSDEBookKeywords.visitProgramsForPosRanking,,,2018-11-05 15:45:29,2018-11-05 15:47:50,2m - 20.726s,PASSED
tap,,,2018-11-05 15:47:50,2018-11-05 15:47:53,3.272s,PASSED
verifyElementExist,,,2018-11-05 15:47:53,2018-11-05 15:47:53,0.123s,PASSED
tap,,,2018-11-05 15:47:53,2018-11-05 15:47:54,0.527s,PASSED
verifyElementText,,,2018-11-05 15:47:54,2018-11-05 15:47:54,0.731s,PASSED
tap,,,2018-11-05 15:47:54,2018-11-05 15:47:55,0.464s,PASSED
waitForElementPresent,,,2018-11-05 15:47:55,2018-11-05 15:48:09,14.144s,PASSED
verifyElementText,,,2018-11-05 15:48:09,2018-11-05 15:48:09,0.203s,PASSED
tap,,,2018-11-05 15:48:09,2018-11-05 15:48:10,0.483s,PASSED
verifyElementText,,,2018-11-05 15:48:10,2018-11-05 15:48:10,0.557s,PASSED
tap,,,2018-11-05 15:48:10,2018-11-05 15:48:11,0.449s,PASSED
waitForElementPresent,,,2018-11-05 15:48:11,2018-11-05 15:48:24,13.032s,PASSED
verifyElementText,,,2018-11-05 15:48:24,2018-11-05 15:48:24,0.209s,PASSED
tap,,,2018-11-05 15:48:24,2018-11-05 15:48:24,0.497s,PASSED
verifyElementText,,,2018-11-05 15:48:24,2018-11-05 15:48:25,0.559s,PASSED
tap,,,2018-11-05 15:48:25,2018-11-05 15:48:28,3.258s,PASSED
verifyElementExist,,,2018-11-05 15:48:28,2018-11-05 15:48:28,0.191s,PASSED
tap,,,2018-11-05 15:48:28,2018-11-05 15:48:29,0.476s,PASSED
verifyElementText,,,2018-11-05 15:48:29,2018-11-05 15:48:30,1.319s,PASSED
tap,,,2018-11-05 15:48:30,2018-11-05 15:48:34,3.258s,PASSED
verifyElementExist,,,2018-11-05 15:48:34,2018-11-05 15:48:34,0.127s,PASSED
tap,,,2018-11-05 15:48:34,2018-11-05 15:48:34,0.482s,PASSED
verifyElementExist,,,2018-11-05 15:48:34,2018-11-05 15:48:35,1.069s,PASSED
tap,,,2018-11-05 15:48:35,2018-11-05 15:48:36,0.684s,PASSED
delay,,,2018-11-05 15:48:36,2018-11-05 15:48:41,5.001s,PASSED
pressBack,,,2018-11-05 15:48:41,2018-11-05 15:48:41,0.464s,PASSED
verifyElementExist,,,2018-11-05 15:48:41,2018-11-05 15:48:42,0.493s,PASSED
tap,,,2018-11-05 15:48:42,2018-11-05 15:48:45,3.290s,PASSED
verifyElementExist,,,2018-11-05 15:48:45,2018-11-05 15:48:45,0.099s,PASSED
pressBack,,,2018-11-05 15:48:45,2018-11-05 15:48:45,0.215s,PASSED
verifyElementExist,,,2018-11-05 15:48:45,2018-11-05 15:48:46,0.586s,PASSED
,,,,,,
Test Cases/LiveFeedBack/VisitLiveFeedBack,,,2018-11-05 15:48:46,2018-11-05 15:48:51,5.420s,PASSED
tap,,,2018-11-05 15:48:46,2018-11-05 15:48:47,0.877s,PASSED
verifyElementText,,,2018-11-05 15:48:47,2018-11-05 15:48:48,0.740s,PASSED
verifyElementExist,,,2018-11-05 15:48:48,2018-11-05 15:48:48,0.094s,PASSED
verifyElementExist,,,2018-11-05 15:48:48,2018-11-05 15:48:48,0.108s,PASSED
tap,,,2018-11-05 15:48:48,2018-11-05 15:48:51,3.254s,PASSED
verifyElementExist,,,2018-11-05 15:48:51,2018-11-05 15:48:51,0.174s,PASSED
,,,,,,
Test Cases/LiveUpdate/LiveUpdate,,,2018-11-05 15:48:51,2018-11-05 15:48:57,5.843s,PASSED
tap,,,2018-11-05 15:48:52,2018-11-05 15:48:52,0.691s,PASSED
verifyElementText,,,2018-11-05 15:48:52,2018-11-05 15:48:54,1.474s,PASSED
tap,,,2018-11-05 15:48:54,2018-11-05 15:48:57,3.268s,PASSED
verifyElementExist,,,2018-11-05 15:48:57,2018-11-05 15:48:57,0.165s,PASSED
